Ref_No,VM_ID,ImgSize,VM_Memory,MIPs,Bandwidth,PES
HEFT00023,0,14473,1346,1094.0,1768,2
HEFT00023,1,18171,808,1156.0,1770,2
HEFT00023,2,15957,1086,1929.0,1116,2
HEFT00023,3,13596,642,1159.0,1819,2
HEFT00023,4,12432,906,1062.0,1257,2
HEFT00023,5,10662,1007,1370.0,1897,3
HEFT00023,6,14407,1052,1340.0,1986,1
HEFT00023,7,12624,1394,1212.0,1149,2
HEFT00023,8,17317,1496,1847.0,1682,1
HEFT00023,9,12127,1370,1949.0,1919,2
HEFT00024,0,15150,1016,1865.0,1993,2
HEFT00024,1,18253,1114,1118.0,1859,3
HEFT00024,2,15045,1050,1489.0,1805,1
HEFT00024,3,15082,751,1645.0,1644,2
HEFT00024,4,15905,979,1199.0,1226,3
HEFT00024,5,18363,822,1782.0,1278,1
HEFT00024,6,18093,1191,1546.0,1488,1
HEFT00024,7,18312,947,1788.0,1059,3
HEFT00024,8,14759,1379,1453.0,1706,3
HEFT00025,0,10677,1267,1168.0,1789,1
HEFT00025,1,11066,728,1143.0,1682,1
HEFT00025,2,15582,1506,1354.0,1952,1
HEFT00025,3,10041,1369,1918.0,1622,1
HEFT00025,4,19887,903,1465.0,1452,3
HEFT00025,5,15783,1201,1311.0,1423,3
HEFT00025,6,16104,1188,1568.0,1304,2
HEFT00025,7,15394,1019,1982.0,1637,1
HEFT00025,8,17741,530,1055.0,1018,3
HEFT00025,9,16136,1200,1911.0,1339,3
HEFT00026,0,13696,1119,1183.0,1242,1
HEFT00026,1,12728,1086,1335.0,1928,3
HEFT00026,2,11431,1283,1680.0,1708,1
HEFT00026,3,12899,1116,1027.0,1847,3
HEFT00026,4,17178,688,1783.0,1204,3
HEFT00026,5,16452,1116,1493.0,1699,3
HEFT00026,6,14302,1268,1124.0,1393,2
HEFT00026,7,14455,1535,1306.0,1769,3
HEFT00027,0,15285,904,1194.0,1114,2
HEFT00027,1,14561,859,1889.0,1273,2
HEFT00027,2,13133,1105,1672.0,1416,2
HEFT00027,3,13618,1351,1965.0,1748,3
HEFT00027,4,16667,657,1771.0,1212,2
HEFT00027,5,19395,579,1966.0,1766,1
HEFT00027,6,16385,1410,1318.0,1197,2
HEFT00027,7,12372,1440,1402.0,1175,2
HEFT00027,8,18960,1415,1986.0,1529,1
HEFT00027,9,19754,1068,1651.0,1441,2
HEFT00028,0,18664,608,1161.0,1322,3
HEFT00028,1,12461,1498,1661.0,1717,2
HEFT00028,2,12454,1131,1904.0,1859,1
HEFT00028,3,15316,722,1027.0,1486,1
HEFT00028,4,16978,1358,1497.0,1441,3
